_heading,year,_year_done,_description,_dimensions,id,keywords
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 22×27 cm",22×27 cm,ARKM.1973-05-00095,keyword
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 21×26 cm",21×26 cm,ARKM.1973-05-00094,keyword
Malmö Museum,1932,1932,"Elevations, competition panel, watercolour and pencil on cardboard, Osvald Almqvist, Sigurd Lewerentz and Erik Wettergren, 1932, 60×99 cm",60×99 cm,EX.07-04,keyword
Malmö Museum,1932,1932,"Sections, competition panel, watercolour and pencil on cardboard, 1932, 60×99 cm",60×99 cm,EX.07-03,keyword
Malmö Museum,1932,1932,"Sections, competition panel, watercolour and pencil on cardboard, 1932, 60×99 cm",60×99 cm,EX.07-02,keyword
Malmö Museum,1932,1932,"Main floor plan, competition panel, pencil and ink on cardboard, 1932, 60×80 cm",60×80 cm,EX.07-06,keyword
Malmö Museum,1932,1932,"Competition panels, watercolour and pencil on cardboard, 1932, 62×57 cm",62×57 cm,EX.07-14,keyword
Malmö Museum,1932,1932,"Competition panels, watercolour and pencil on cardboard, 1932, 62×57 cm",62×57 cm,EX.07-13,keyword
Malmö Museum,1932,1932,"Competition panels, watercolour and pencil on cardboard, 1932, 62×57 cm",62×57 cm,EX.07-12,keyword
Malmö Museum,1932,1932,"Competition panels, watercolour and pencil on cardboard, 1932, 62×57 cm",62×57 cm,EX.07-10,keyword
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Elevation and plan of colonnade, ink on tracing paper, ca. 1925, 37×40 cm",37×40 cm,ARKM.1973-05-08412,keyword
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Plan and elevation of main entrance, ink, pencil and crayon on tracing paper, 1918, 78×100 cm",78×100 cm,ARKM.1973-05-08355,keyword
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Axonometric perspective of main entrance, pencil on tracing paper, ca. 1925, 24×19 cm",24×19 cm,ARKM.1973-05-08383,keyword
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Elevation, plan and section of flower kiosk, pencil on tracing paper, 1923, 29×27 cm",29×27 cm,ARKM.1973-05-08796,keyword
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Site plan for northern part of cemetery, ink, pencil and crayon on paper, ca. 1920, 97×139 cm",97×139 cm,ARKM.1973-05-08356,keyword
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Perspective, watercolour on paper, signed ‘Schmalensee pinx’ (Artur von Schmalensee), ca. 1925, 19×27 cm",19×27 cm,ARKM.1973-05-08472,keyword
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Perspective, watercolour on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1930, 30×38 cm",30×38 cm,ARKM.1988-02-3500,keyword
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Perspective, ink and pencil on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1930, 47×36 cm",47×36 cm,ARKM.1973-05-08473,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Perspective of the meditation grove, gouache and pencil on paper mounted on cardboard, ca. 1932, 40×40 cm",40×40 cm,EX.11-35,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Northern part of the cemetery, photo, ca. 1935",no_size,ARKM.1973-103-083-34,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Sketches of well with seating, pencil on paper, ca. 1932, 16×17 cm",16×17 cm,ARKM.1973-05-08503,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Sketches of well with seating, pencil on paper, ca. 1932, 16×17 cm",16×17 cm,ARKM.1973-05-08501,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Sketches of well with seating, pencil on paper, ca. 1932, 16×17 cm",16×17 cm,ARKM.1973-05-08504,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Sketches of well with seating, pencil on paper, ca. 1932, 16×17 cm",16×17 cm,ARKM.1973-05-08508,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Main entrance, photo, ca. 1935,",no_size,ARKM.1973-103-083-43,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Steps close to the Resurrection Chapel, photo, ca. 1935",no_size,ARKM.1973-103-083-05,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Cemetery wall, photo, ca. 1935",no_size,ARKM.1973-103-083-14,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Division block with low walls, photo, ca. 1935",no_size,ARKM.1973-103-083-18,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Well, photo, ca. 1935",no_size,ARKM.1973-103-083-22,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Gates to secondary entrance, photo, ca. 1935",no_size,ARKM.1973-103-083-01,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Plan and section of well space, pencil on tracing paper, 1932, 45×53 cm",45×53 cm,ARKM.1973-05-08584,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Plan and section of well, pencil on tracing paper, 1932, 64×37 cm",64×37 cm,ARKM.1973-05-08585,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Perspective of entrance gates, watercolour and pencil on cardboard, ca. 1932, 63×44 cm",63×44 cm,EX.11-27,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Perspective of entrance gates, watercolour and pencil on cardboard, ca. 1932, 63×44 cm",63×44 cm,EX.11-29,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Perspective of entrance gates, watercolour and pencil on cardboard, ca. 1932, 63×44 cm",63×44 cm,EX.11-28,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Construction drawing of gates, pencil on tracing paper, 1932, 112×62 cm",112×62 cm,ARKM.1973-05-09346,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Perspective of proposal for the main chapel, ca. 1930, 39×47 cm",39×47 cm,EX.11-30,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Perspective of the porch with the Resurrection monument, pencil on tracing paper, ca. 1930, 38×33 cm",38×33 cm,ARKM.1973-05-09438,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Site plan, ink on linen, Gunnar Asplund and Sigurd Lewerentz, ca. 1930, 51×64 cm",51×64 cm,ARKM.1973-05-09417,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Elevation and section, ink on tracing paper, ca. 1930, 33×33 cm",33×33 cm,ARKM.1973-05-09419,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Elevation and section, ink on tracing paper, ca. 1930, 33×33 cm",33×33 cm,ARKM.1973-05-09421,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Elevation and section, ink on tracing paper, ca. 1930, 33×33 cm",33×33 cm,ARKM.1973-05-09420,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Plan, ink on tracing paper, ca. 1930, 33×33 cm",33×33 cm,ARKM.1973-05-09422,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Perspective of main entrance, gouache and pencil on cardboard, ca. 1932, 46×44 cm",46×44 cm,EX.11-31,keyword
"Main Chapel, Woodland Cemetery, Stockholm",1932,1932,"Site plan with placement of the Resurrection monument, watercolour and pencil on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1932, 126×80 cm",126×80 cm,EX.11-33,keyword
"Detached Houses, Skidbladner Quarter, Djursholm",1933,1933,"Sketches, pencil on tracing paper, ca. 1933, 30×23 cm",30×23 cm,ARKM.1973-05-00838,keyword
"Detached Houses, Skidbladner Quarter, Djursholm",1933,1933,"Sketches, pencil on tracing paper, ca. 1933, 30×27 cm",30×27 cm,ARKM.1973-05-00835,keyword
"Johanneberg Church, Gothenburg",1933,1933,"Competition panel, photo mounted on cardboard, 1933, 32×32 cm",32×32 cm,ARKM.1973-05-05198,keyword
"Johanneberg Church, Gothenburg",1933,1933,"Competition panel, pencil on paper mounted on cardboard, 1933, 32×32 cm",32×32 cm,ARKM.1973-05-05189,keyword
"Johanneberg Church, Gothenburg",1933,1933,"Competition panel, pencil on paper mounted on cardboard, 1933, 32×32 cm",32×32 cm,ARKM.1973-05-05191,keyword
"Johanneberg Church, Gothenburg",1933,1933,"Competition panel, photo mounted on cardboard, 1933, 32×32 cm",32×32 cm,ARKM.1973-05-05206,keyword
"Johanneberg Church, Gothenburg",1933,1933,"Competition model, 1933",no_size,ARKM.1985-215-03,keyword
"Johanneberg Church, Gothenburg",1933,1933,"Sketches of bell tower and cross, pencil on paper, 1933, 31×22 cm",31×22 cm,ARKM.1973-05-05146,keyword
"Johanneberg Church, Gothenburg",1933,1933,"Sketches of skylights, pencil on paper, 1933, 31×22 cm",31×22 cm,ARKM.1973-05-05142,keyword
"Chapel, Djursholm",1933,1933,"Exterior perspective, pencil on tracing paper, 1933, 24×32 cm",24×32 cm,ARKM.1973-05-05278,keyword
"Chapel, Djursholm",1933,1933,"Site plan, pencil on tracing paper, 1933, 23×31 cm",23×31 cm,ARKM.1973-05-05277,keyword
"Chapel, Djursholm",1933,1933,"Plan of cemetery, lantern-slide, 1933",no_size,ARKM.1973-103-795,keyword
"Chapel, Djursholm",1933,1933,"Section, elevation and perspective, lantern-slide, 1933",no_size,ARKM.1973-103-787,keyword
"Chapel, Djursholm",1933,1933,"Photomontage of exterior, lantern-slide, 1933",no_size,ARKM.1973-103-789,keyword
"Chapel, Djursholm",1933,1933,"Interior perspective, lantern-slide, 1933",no_size,ARKM.1973-103-790,keyword
"Chapel, Djursholm",1933,1933,"Site plan, plan and elevation, lantern-slide, 1933",no_size,ARKM.1973-103-791,keyword
"Chapel, Djursholm",1933,1933,"Elevation and section, lantern-slide, 1933",no_size,ARKM.1973-103-792,keyword
"Bromma Airport, Stockholm",1934,1934,"Competition panel (alt. A), photographic plate, 1934, 12×9 cm",12×9 cm,ARKM.1973-103-0312,keyword
"Bromma Airport, Stockholm",1934,1934,"Competition panel (alt. B), photographic plate, 1934, 12×9 cm",12×9 cm,ARKM.1973-103-0313,keyword
"Bromma Airport, Stockholm",1934,1934,"Competition panel (alt. C), photographic plate, 1934, 12×9 cm",12×9 cm,ARKM.1973-103-0314,keyword
"Bromma Airport, Stockholm",1934,1934,"sketch of flight hangar, pencil on tracing paper, 1934, 29×21 cm",29×21 cm,ARKM.1973-05-02363,keyword
"AC. D. Ekman Tomb, Northfleet, United Kingdom",1934,1934,"Plan, elevation and perspective, pencil on tracing paper, 1934, 38×37 cm",38×37 cm,ARKM.1973-05-07098,keyword
"AC. D. Ekman Tomb, Northfleet, United Kingdom",1934,1934,"Design for inscription, pencil on tracing paper, 1934, 52×59 cm",52×59 cm,ARKM.1973-05-07099,keyword
"Filips Pastry Shop, Stockholm",1934,1934,"Drawing of shopfront, pencil and ink on cardboard with wooden type, ca. 1931, 22×38 cm",22×38 cm,ARKM.1973-05-01952,keyword
"Filips Pastry Shop, Stockholm",1934,1934,"Drawing of shopfront, pencil on tracing paper, 1931, 28×60 cm",28×60 cm,ARKM.1973-05-01859,keyword
"Filips Pastry Shop, Stockholm",1934,1934,"Interior, photos, ca. 1934",no_size,ARKM.1973-103-0265,keyword
"Filips Pastry Shop, Stockholm",1934,1934,"Interior, photos, ca. 1934",no_size,ARKM.1973-103-0270,keyword
"Marabou Shop, Gothenburg",1934,1934,"Perspective, pencil on paper mounted on cardboard, 1931, 23×24 cm,",23×24 cm,ARKM.1973-05-02549,keyword
"Marabou Shop, Gothenburg",1934,1934,"Elevation, pencil on tracing paper, 1934, 62×61 cm",62×61 cm,ARKM.1973-05-02534,keyword
"Lewerentz’s Office, Kungsgatan, Stockholm",1936,1936,"Furnished plan, pencil on tracing paper, 1936, 25×46 cm",25×46 cm,ARKM.1973-05-02886,keyword
"Lewerentz’s Office, Kungsgatan, Stockholm",1936,1936,"Interior, photo, ca. 1933",no_size,ARKM.1973-103-0469,keyword
"Lewerentz’s Office, Kungsgatan, Stockholm",1936,1936,"Drawing of sign, pencil on tracing paper, 1932, 39×64 cm",39×64 cm,ARKM.1973-05-11421,keyword
"Lewerentz’s Office, Kungsgatan, Stockholm",1936,1936,"Drawing of sign, pencil on tracing paper, 1932, 18×56 cm",18×56 cm,ARKM.1973-05-11420,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Exterior perspective, gouache and pencil on cardboard, ca. 1933, 26×24 cm",26×24 cm,ARKM.1973-05-00241,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Axonometric view, gouache and pencil on cardboard, ca. 1933, 26×24 cm",26×24 cm,ARKM.1973-05-00240,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Site plan, pencil on cardboard, ca. 1933, 26×24 cm",26×24 cm,ARKM.1973-05-00243,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Ground and first floor plans, pencil on cardboard, ca. 1933, 26×24 cm",26×24 cm,ARKM.1973-05-00244,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Exterior perspective, pencil on cardboard, ca. 1933, 24×26 cm",24×26 cm,ARKM.1973-05-00249,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Axonometric perspective, pencil on cardboard, ca. 1933, 26×24 cm",26×24 cm,ARKM.1973-05-00250,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Interior perspective of staircase and terrace, pencil on tracing paper, 1936, 30×46 cm",30×46 cm,ARKM.1973-05-00279,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Interior perspective of living room and staircase, pencil on tracing paper, 1936, 30×46 cm",30×46 cm,ARKM.1973-05-00278,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Perspective from garden, ink on tracing paper, 1936, 45×68 cm",45×68 cm,ARKM.1973-05-00341,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Ground floor plan, ink on tracing paper, 1936, 91×53 cm",91×53 cm,ARKM.1973-05-00349,keyword
"Villa Edstrand, Falsterbo",1937,1937,"First floor plan, ink on tracing paper, 1936, 91×53 cm",91×53 cm,ARKM.1973-05-00350,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Construction drawing of parapet wall for sun terrace, pencil on tracing paper, 1936, 42×74 cm",42×74 cm,ARKM.1973-05-00364,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-091,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-108,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-133,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-120,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-099,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-079,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-109,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-134,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-003,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-121,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-096,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Sigurd Lewerentz photo documentation of the building site, ca. 1936",no_size,ARKM.1973-103-008-107,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Magazine clipping with bathroom fittings, 14×18 cm",14×18 cm,ARKM.1973-05-11599-003,keyword
"Villa Edstrand, Falsterbo",1937,1937,"Letter from Knut Edstrand, 29×22 cm",29×22 cm,ARKM.1973-05-11599-004,keyword
"Roof Extension, Grand Hotel, Stockholm",1938,1938,"Elevation, roof extension proposal, ink on tracing paper, 1938, 31×62 cm",31×62 cm,ARKM.1973-05-01791,keyword
Kiosk,1938,1938,"Perspective of kiosk for unknown client, pencil on tracing paper, 1938, 34×45 cm",34×45 cm,ARKM.1973-05-12341-001,keyword
Kiosk,1938,1938,"Plan, elevation and section, pencil on tracing paper, 1938, 48×80 cm",48×80 cm,ARKM.1973-05-12341-002,keyword
Kiosk,1938,1938,"Sketch of construction detail, pencil on tracing paper, 1938, 31×72 cm",31×72 cm,ARKM.1973-05-12362-002,keyword
"Åhlén & Åkerlund Publishing House, Stockholm",1938,1938,"Sketch for competition, pencil on tracing paper, 1938, 21×27 cm",21×27 cm,ARKM.1973-05-02767,keyword
"Åhlén & Åkerlund Publishing House, Stockholm",1938,1938,"Sketch for competition, pencil on tracing paper, 1938, 18×27 cm",18×27 cm,ARKM.1973-05-02770,keyword
"Åhlén & Åkerlund Publishing House, Stockholm",1938,1938,"View from Barnhusviken, photomontage, 1938, 34×48 cm",34×48 cm,ARKM.1973-05-02862,keyword
"Åhlén & Åkerlund Publishing House, Stockholm",1938,1938,"Competition model, photo, 1938",no_size,ARKM.1973-103-318,keyword
"Lewerentz Loft, Eskilstuna",1943,1943,"Plan, section and elevation, pencil on copy, ca. 1943, 35×58 cm",35×58 cm,ARKM.1973-05-01138,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Byggmästaren, journal, 30×21 cm",30×21 cm,ARKM.1973-05-11991-001,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Sketch of chapel interior, pencil on tracing paper, ca. 1935, 34×28 cm",34×28 cm,ARKM.1973-05-10368,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Plan and elevation, extension with one chapel, ink on linen, 1935, 56×77 cm",56×77 cm,ARKM.1973-05-10465,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Section and elevation, extension with one chapel, ink on linen, 1935, 56×77 cm",56×77 cm,ARKM.1973-05-10466,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Interior perspective, watercolour, gouache and pencil on cardboard, 1935, 78×65 cm",78×65 cm,ARKM.1973-05-10470,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Exterior perspective, ink on tracing paper, ca. 1936, 29×47 cm",29×47 cm,ARKM.1973-05-10411,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Interior perspective, ink on tracing paper, ca. 1936, 29×47 cm",29×47 cm,ARKM.1973-05-10410,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Plan, extension with two chapels, pencil on tracing paper, ca. 1936, 56×81 cm",56×81 cm,ARKM.1973-05-10462,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Ground floor plan, pencil on tracing paper, ca. 1937, 31×35 cm",31×35 cm,ARKM.1973-05-10485,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Exterior perspective, pencil on tracing paper, ca. 1937, 35×51 cm",35×51 cm,ARKM.1973-05-11577,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Interior perspective, pencil on tracing paper, ca. 1937, 27×43 cm",27×43 cm,ARKM.1973-05-10412,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Elevation and section, ink on tracing paper, 1939, 78×65 cm",78×65 cm,ARKM.1973-05-10476,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Exterior perspective, ink on tracing paper, 1939, 64×96 cm",64×96 cm,ARKM.1973-05-11578,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Plans of ground floor and basement, pencil on tracing paper, 1941, 66×140 cm",66×140 cm,ARKM.1973-05-10601,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Section, pencil on tracing paper, 1941, 66×134 cm",66×134 cm,ARKM.1973-05-10598,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Canopy of Chapel of St Gertrud, photo, ca. 1943",no_size,ARKM.1973-103-067-04,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Twin chapels from the northwest, photo, ca. 1943",no_size,ARKM.1973-103-067-05,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Interior of Chapel of St Gertrud, photo, ca. 1943",no_size,ARKM.1973-103-1049,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Canopy of Chapel of St Knut, photo, ca. 1943",no_size,ARKM.1973-103-067-06,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"The crematorium on the rear of the chapels, photo, 1943",no_size,ARKM.1973-103-067-09,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Chapels and crematorium from the southeast, photo, ca. 1943",no_size,ARKM.1973-103-1034,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"The chapel of rest, photo, ca. 1943",no_size,ARKM.1973-103-067-07,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"The chapel of rest after extension, photo, ca. 1956",no_size,ARKM.1973-103-1036,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Interior of the extended chapel of rest, photo, ca. 1956",no_size,ARKM.1973-103-1047,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Chancel in the extended chapel of rest, photo, ca. 1956",no_size,ARKM.1973-103-067-08,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"The landscape looking west, photo, ca. 1943",no_size,ARKM.1973-103-067-1032,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Bell tower, photo, ca. 1943",no_size,ARKM.1973-103-1059,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Sketches of bell tower, pencil on tracing paper, ca. 1940, 35×21 cm",35×21 cm,ARKM.1973-05-11993-002,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Elevation, section and plan of bell tower, pencil on tracing paper, 1941, 70×66 cm",70×66 cm,ARKM.1973-05-10602,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Sketch of window apertures, pencil on tracing paper, ca. 1942, 39×28 cm",39×28 cm,ARKM.1973-05-10508,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Window apertures with skewed brick screens, photo, ca. 1943",no_size,ARKM.1973-103-1072,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Reference panel, photo, ca. 1942",no_size,ARKM.1973-103-1092,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Stone facing, pencil on tracing paper, 1939, 30×38 cm",30×38 cm,ARKM.1973-05-10503,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Model of Chapel of St Gertrud, photo, ca. 1942",no_size,ARKM.1973-103-067-02,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Illustration of chancel wall relief (unsigned), watercolour and pencil on paper, ca. 1942, 31×35 cm",31×35 cm,ARKM.1973-05-12013-001,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Drawing of altar and artwork by Robert Nilsson, pencil on tracing paper, 1943, 54×46 cm",54×46 cm,ARKM.1973-05-10721,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,Pew in the chapels,no_size,_M3A2701 (1),keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Drawing of pew, 1:1, pencil on tracing paper, 1943, 85×74 cm",85×74 cm,ARKM.1973-05-10715,keyword
"Chapels of St Knut and St Gertrud, Eastern Cemetery, Malmö",1943,1943,"Plan with marble floor tiling, extension of chapel of rest, pencil on tracing paper, 1955, 36×90 cm",36×90 cm,ARKM.1973-05-10764,keyword
Malmö City Theatre,1944,1944,"Exterior perspective, second competition round, watercolour and pencil on paper mounted on cardboard, 1935, 23×20 cm",23×20 cm,EX.12-13,keyword
Malmö City Theatre,1944,1944,"Typed bibliography of theatre literature from Sandberg’s bookstore, 29×23 cm",29×23 cm,ARKM.1973-05-12077-001,keyword
Malmö City Theatre,1944,1944,"Elevations, first competition, ink and pencil on paper mounted on cardboard, 1933, 51×73 cm",51×73 cm,ARKM.1973-05-07800,keyword
Malmö City Theatre,1944,1944,"Sections, first competition, ink and pencil on paper mounted on cardboard, 1933, 51×73 cm",51×73 cm,ARKM.1973-05-07795,keyword
Malmö City Theatre,1944,1944,"Plan, first competition, ink and pencil on paper mounted on cardboard, 1933, 51×73 cm",51×73 cm,ARKM.1973-05-07794,keyword
Malmö City Theatre,1944,1944,"Model, first competition, 1933",no_size,ARKM.1985-215-01,keyword
Malmö City Theatre,1944,1944,"Exterior perspective, second competition, pencil on tracing paper, 1935, 27×20 cm",27×20 cm,ARKM.1973-05-12072-001,keyword
Malmö City Theatre,1944,1944,"Interior perspective, second competition, pencil on tracing paper, 1935, 19×26 cm",19×26 cm,ARKM.1973-05-12072-002,keyword
Malmö City Theatre,1944,1944,"Model, second competition, photo, ca. 1935",no_size,ARKM.1973-103-737,keyword
Malmö City Theatre,1944,1944,"Interior perspective, second competition, watercolour and pencil on paper mounted on cardboard, 1935, 27×40 cm",27×40 cm,EX.12-11,keyword
Malmö City Theatre,1944,1944,"The theatre building from northeast, photo, ca. 1944",no_size,ARKM.1973-103-744,keyword
Malmö City Theatre,1944,1944,"Interior of foyer, photo, ca. 1944",no_size,ARKM.1973-103-745,keyword
Malmö City Theatre,1944,1944,"Interior of auditorium, photo, ca. 1944",no_size,ARKM.1973-103-740,keyword
Malmö City Theatre,1944,1944,"Rear elevation, photo, ca. 1944",no_size,ARKM.1973-103-742,keyword
Malmö City Theatre,1944,1944,"Drawing of lamella wall for the auditorium, copy, 1939, 75×114 cm",75×114 cm,ARKM.1973-05-07973,keyword
"Restoration, Uppsala Cathedral",1949,1949,"North elevation, second competition, pencil on cardboard, 1949, 66×67 cm",66×67 cm,EX.14-04,keyword
"Restoration, Uppsala Cathedral",1949,1949,"East elevation, second competition, pencil on cardboard, 1949, 66×46 cm",66×46 cm,EX.14-06,keyword
"Restoration, Uppsala Cathedral",1949,1949,"Cross section, second competition, pencil on cardboard, 1949, 66×67 cm",66×67 cm,EX.14-01,keyword
"Restoration, Uppsala Cathedral",1949,1949,"Perspective, second competition, pencil on tracing paper, 1949, 66×46 cm",66×46 cm,EX.14-07,keyword
